Group;Pre-Processing;Connotation String;Symbolic Search;Symbolic Reduction;Description
0;S win_size;D1 thr;p+;Rise;
0;S win_size;D1 thr;z{size,};Straight;
0;S win_size;D1 thr;n+;Fall;
1;S win_size;D1 thr;n+z{size,}n+z{,size}p+;nPltVl;
1;S win_size;D1 thr;p+z{size,}p+z{,size}n+;pPltPk;
1;S win_size;D1 thr;n+z{,size}p+z{size,}+p+;VlnPlt;
1;S win_size;D1 thr;p+z{,size}n+z{size,}n+;PkpPlt;
2;S win_size;D1 thr;p+z{,size}n+;Peak;
2;S win_size;D1 thr;n+z{,size}p+;Valley;
2;S win_size;D1 thr;n+z{size,}p+;nPlt;
2;S win_size;D1 thr;p+z{size,}n+;pPlt;
3;S win_size;ADa 0.66 thr;r+;sRise;
3;S win_size;ADa 0.66 thr;f+;sFall;
3;S win_size;ADa 0.66 thr;R+;hRise;
3;S win_size;ADa 0.66 thr;F+;hFall;
4;S win_size;ADa 0.66 thr;r+z*f+;sRsF;
4;S win_size;ADa 0.66 thr;r+z*F+;sRhF;
4;S win_size;ADa 0.66 thr;R+z*f+;hRsF;
4;S win_size;ADa 0.66 thr;R+z*F+;hRhF;
4;S win_size;ADa 0.66 thr;f+z*R+;sFhR;
4;S win_size;ADa 0.66 thr;f+z*r+;sFsR;
4;S win_size;ADa 0.66 thr;F+z*r+;hFsR;
4;S win_size;ADa 0.66 thr;F+z*R+;hFhR;
5;S win_size;S 0.5;R+;QRise;
5;S win_size;S 0.5;F+;QFall;
5;S win_size;S 0.5;r+;qRise;
5;S win_size;S 0.5;(.z)+;Straight;
5;S win_size;S 0.5;f+;qFall;
6;S win_size;A 0.33 D1 thr;(0p)+(0z)*(0n)+;lPk;
6;S win_size;A 0.66 D1 thr;(1p)+(1z)*(1n)+;hPk;
6;S win_size;A 0.33 D1 thr;(0n)+(0z)*(0p)+;lVl;
6;S win_size;A 0.66 D1 thr;(1n)+(1z)*(1p)+;hVl;
7;S win_size;S 0.5 ADa 0.33 thr;(rr)+;qr;
7;S win_size;S 0.5 ADa 0.33 thr;(ff)+;qf;
7;S win_size;S 0.5 ADa 0.33 thr;(rR)+;qR;
7;S win_size;S 0.5 ADa 0.33 thr;(fF)+;qF;
7;S win_size;S 0.5 ADa 0.33 thr;(Rr)+;Qr;
7;S win_size;S 0.5 ADa 0.33 thr;(Ff)+;Qf;
7;S win_size;S 0.5 ADa 0.33 thr;(RR)+;QR;
7;S win_size;S 0.5 ADa 0.33 thr;Z{size,};QF;
8;S win_size;D2 thr D1 thr;(Dp)+;ConcR;
8;S win_size;D2 thr D1 thr;(Dn)+;ConcF;
8;S win_size;D2 thr D1 thr;(Cp)+;ConvR;
8;S win_size;D2 thr D1 thr;(Cn)+;ConvF;
